Basin,Wet/Dry,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,Wet1,HMS,0.9552747915347276,-0.1488451264648524,0.8768742229963766,-0.14810083555923473,0.9956485241503016
MF Tule River S20,Wet1,LSTM,0.9151966423234192,-0.017244214945119286,1.085205768782317,-0.017157986308260192,0.9644081609355439
MF Tule River S20,Wet1,HMS_LSTM,0.9449003585260172,0.11671968811733187,1.1465004193434452,0.11613603849147236,0.9912125242914328
MF Tule River S20,Wet2,HMS,0.9145870926583017,-0.21562443997530942,0.8346086721705347,-0.17038725967023496,0.9826105342956226
MF Tule River S20,Wet2,LSTM,0.9142536106503362,0.1338939769809112,1.1589952457570234,0.10580353426883965,0.9787434359662249
MF Tule River S20,Wet2,HMS_LSTM,0.9864475912470693,0.006612007219755363,0.9224038876273974,0.005224833470746461,0.995932392895647
MF Tule River S20,Dry1,HMS,0.9811081092429549,-0.11963609061554986,0.9224159968497289,-0.07487952918360859,0.996061609216298
MF Tule River S20,Dry1,LSTM,0.9754311179455609,0.12003711104262951,1.0880901863887427,0.07513052552274217,0.9948697243156996
MF Tule River S20,Dry1,HMS_LSTM,0.9265438347064003,0.3126424076691197,1.1427745517208883,0.19568105384121218,0.99353305609587
MF Tule River S20,Dry2,HMS,0.9438334096822577,-0.19575424182478585,0.8737117509380549,-0.15268227108865698,0.9903251887457916
MF Tule River S20,Dry2,LSTM,0.8941764467288283,0.16259355315736063,1.0931666063888896,0.1268179566839749,0.9629238845598188
MF Tule River S20,Dry2,HMS_LSTM,0.8611170348131829,0.1127204904687258,0.9071818408737282,0.08791850599282,0.932462222397883
NF Tule River S10,Wet1,HMS,0.9453241307066403,0.16453995199548996,1.0891020874284412,0.14371483236103982,0.988025578791113
NF Tule River S10,Wet1,LSTM,0.9663764945006031,-0.04208101779813974,0.9463877493477475,-0.036755002934529706,0.9844681517385763
NF Tule River S10,Wet1,HMS_LSTM,0.9616253897671396,0.07380206713144163,0.9790683395358951,0.06446125440697854,0.9827482816371289
NF Tule River S10,Wet2,HMS,0.9420334772331295,-0.11479876380707779,0.9709938404931103,-0.09254882161539346,0.9749947532774914
NF Tule River S10,Wet2,LSTM,0.9299706552993863,-0.10311359205298806,0.8482100693186069,-0.08312843379630605,0.9763744698461779
NF Tule River S10,Wet2,HMS_LSTM,0.9394489890163025,-0.09322706370370462,0.825347266597772,-0.07515808186698555,0.9852191329538904
NF Tule River S10,Dry1,HMS,0.8663097206974906,0.1064451272978948,1.1745578318837175,0.07033893306477115,0.9581662671440078
NF Tule River S10,Dry1,LSTM,0.8656281269510906,0.3507874026554772,1.117955215273524,0.231800292429511,0.9701566468152515
NF Tule River S10,Dry1,HMS_LSTM,0.9448306272721645,0.13627156624592104,0.9111822646969352,0.09004824194515225,0.9785047963158687
NF Tule River S10,Dry2,HMS,0.3055615530928786,-0.13171474808857758,1.1957650085540446,-0.09277635978554784,0.7292498731916887
NF Tule River S10,Dry2,LSTM,0.8224461698618086,0.4239857951702531,1.1111246306470435,0.298644299499581,0.9657928881776803
NF Tule River S10,Dry2,HMS_LSTM,0.7781657582994612,0.235212567869941,0.9109280340181997,0.16567746694629035,0.8976585435072846
SF Tule River S10,Wet1,HMS,0.8934144168847165,-0.1868112064253362,0.8807889138443861,-0.163060051878985,0.9626552295901587
SF Tule River S10,Wet1,LSTM,0.9575734805215417,-0.058562837720318464,0.9614015883025889,-0.05111716550405278,0.980068829742943
SF Tule River S10,Wet1,HMS_LSTM,0.9716615168165581,0.00448746699343987,0.9559387094436633,0.003916930974095303,0.9862011323272755
SF Tule River S10,Wet2,HMS,0.5929802218284211,-0.07267759754166192,1.2567622951861488,-0.04986990626927571,0.865286420634994
SF Tule River S10,Wet2,LSTM,0.858724276463995,0.006605884390183002,0.9737038790567158,0.004532825058990896,0.9278201031752599
SF Tule River S10,Wet2,HMS_LSTM,0.8285608994866976,0.27024780357219974,1.0868635969956242,0.18543860955086613,0.940421991096162
SF Tule River S10,Dry1,HMS,0.7825499923712975,0.08070342507543403,1.2118478203760013,0.04303099030883342,0.9295625904370106
SF Tule River S10,Dry1,LSTM,0.957351084919655,0.06401790336572744,0.8955651170812275,0.034134285834183195,0.982928588743869
SF Tule River S10,Dry1,HMS_LSTM,0.8557276034711592,0.4380417911510936,1.17350661465069,0.23356347084734136,0.9745992244343734
SF Tule River S10,Dry2,HMS,0.6706691252679107,0.28876425570228104,1.4830028311492425,0.14030293893784507,0.9742568848974691
SF Tule River S10,Dry2,LSTM,0.4462035525235737,0.8600169071316031,1.1313187695152076,0.4178595419067533,0.8400339315319512
SF Tule River S10,Dry2,HMS_LSTM,0.7131326914730055,0.5395964613032715,0.8047801606213142,0.26217569476246005,0.8881555257420891
